experiment,subject,age,gender,stimulus_identity_condition,extinction_condition,task_order,completeness_acquisition_testing,completeness_acquisition_training,completeness_extinction_testing,completeness_extinction_training,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_extinction_testing,mean_correct_extinction_training,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_extinction_testing,passed_performance_criterion_extinction_training,OEC_effect,IR_effect,complete_iat_data,passed_iat_performance,IAT_D2,intentions_response_1_3,intentions_response_2_4,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
1,100,22,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.95,1,NA,NA,TRUE,TRUE,NA,NA,-2.25,1.75,complete,0,-0.03466849620721917,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,3,2,2,2,3,no,NA
1,74,35,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.8,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-4.75,-5,complete,0,0.390550568362869,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,2,2,-2,-2,no,NA
1,73,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.8,0.875,0.75,0.95,TRUE,TRUE,TRUE,TRUE,-0,-0,complete,0,-0.23618616903329243,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,1,5,5,5,5,yes,9
1,76,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,complete,complete,NA,NA,1,0.5,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,75,34,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-3.75,-2.75,complete,0,1.0037086241737283,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,3,2,2,1,no,NA
1,36,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.8,0.75,NA,NA,TRUE,TRUE,NA,NA,-0.25,-0,complete,0,0.1810210831367344,I don't know,I don't know,Not Demand Compliant,no,NA,1,3,3,3,no,NA
1,66,18,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,NA,complete,NA,NA,0.85,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,33,25,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,-0,-0,complete,0,-0.12336344284292847,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,9,3,3,3,3,no,NA
1,33,25,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,-0,-0,complete,0,-0.12336344284292847,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,9,3,3,3,3,no,NA
1,43,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.45,0.375,0.625,0.95,FALSE,FALSE,FALSE,TRUE,-0.75,-0.25,complete,0,-0.012445145097941049,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,1,1,1,1,no,NA
1,35,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.4,0.125,NA,NA,FALSE,FALSE,NA,NA,0.5,4,complete,0,-0.19618768469321624,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,2,0,-3,-4,0,no,NA
1,12,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-6,-5.75,complete,0,0.17721158089401412,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,3,3,3,-3,-3,no,NA
1,11,38,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-3,-4,complete,0,0.7129211084989984,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,2,1,2,-1,0,no,NA
1,4,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.75,0.875,NA,NA,TRUE,TRUE,NA,NA,-2.5,-0,complete,0,0.38414218931942384,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,0,5,0,5,no,NA
1,9,31,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.95,0.875,0.75,1,TRUE,TRUE,TRUE,TRUE,-7,-7,complete,0,0.767616642825365,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,6,4,4,3,4,yes,7
1,3,23,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,partial,NA,NA,0.4444444444444444,0.375,NA,NA,FALSE,FALSE,NA,NA,-0,-0.5,partial,0,NA,I would try Brands 1 and 3,I would try Brand 4,Not Demand Compliant,yes,3,1,1,1,1,no,NA
1,2,23,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,NA,partial,NA,NA,0.45,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,175,30,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,0.75,0.75,1,TRUE,TRUE,TRUE,TRUE,-0,-0,complete,0,0.1638608805921234,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,3,5,5,5,5,no,NA
1,174,32,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.25,0.25,0.5,0.3,FALSE,FALSE,FALSE,FALSE,-0,-0.75,complete,0,0.030894522673073736,I would try Brand 3,I would try Brand 4,Demand Compliant,yes,6,0,1,2,0,no,NA
1,167,35,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,0.875,NA,NA,TRUE,TRUE,NA,NA,-4,-0.5,complete,0,0.512830185648246,I would try Brand 1,I would try Brand 4,Not Demand Compliant,no,NA,3,3,3,3,no,NA
1,142,27,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,0.875,0.75,0.85,TRUE,TRUE,TRUE,TRUE,-7,-6.5,complete,0,0.11539781514716717,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,3,5,5,5,4,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-5.25,-5,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,-3.75,-4.75,complete,0,-0.045685378771311014,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,134,33,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,0.1,0.125,NA,NA,FALSE,FALSE,NA,NA,0.25,1.75,complete,0,0.11172119909670664,I would try neither Brand,I would try Brands 2 and 4,Not Demand Compliant,yes,6,3,1,2,-1,yes,4
1,135,30,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,complete,complete,NA,NA,1,0.875,NA,NA,TRUE,TRUE,NA,NA,NA,NA,complete,0,0.20210847750609345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,133,20,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,0.3,0.5,NA,NA,FALSE,FALSE,NA,NA,-0,-0,complete,0,0.058650671311522865,I would try neither Brand,I would try Brands 2 and 4,Not Demand Compliant,no,NA,-1,-2,2,3,no,NA
1,111,20,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.95,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-3.5,-0,complete,0,0.4139485099022283,I would try Brand 1,I would try neither Brand,Not Demand Compliant,yes,5,3,0,3,0,no,NA
1,72,27,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.95,1,NA,NA,TRUE,TRUE,NA,NA,-6.25,-5,complete,0,0.29570480786335274,I would try neither Brand,I would try neither Brand,Not Demand Compliant,yes,4,3,0,-3,0,no,NA
1,103,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-5.75,1,complete,0,-0.12063084081221732,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,5,4,2,4,4,yes,7
1,104,25,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-2,-3,complete,0,-0.24690829072425852,I would try neither Brand,I would try Brand 2,Demand Compliant,yes,2,2,3,2,0,no,NA
1,71,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,complete,complete,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,70,33,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-8.25,-8.75,complete,0,-0.7721418071161236,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,5,4,4,4,4,no,NA
1,47,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.55,0.75,0.875,1,FALSE,TRUE,TRUE,TRUE,-6.5,-6.25,complete,0,0.11720281860213677,I would try Brand 3,I would try Brand 2,Not Demand Compliant,no,NA,5,4,-3,-3,yes,5
1,45,33,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.95,1,1,1,TRUE,TRUE,TRUE,TRUE,-0,-0.25,complete,0,-0.38108016681668144,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,1,1,1,1,yes,6
1,37,29,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-6,-6,complete,0,0.7542961190615696,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,3,3,3,3,3,no,NA
1,39,20,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.1,0.375,NA,NA,FALSE,FALSE,NA,NA,-0.5,-0.25,complete,0,0.09899403748018003,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,3,-2,-2,-2,-2,yes,1
1,16,24,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,0.875,1,1,TRUE,TRUE,TRUE,TRUE,-4.25,1,complete,0,0.3879789770651624,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,3,4,3,4,3,no,NA
