experiment,unique_id,age,gender,stimulus_identity_condition,experiment_condition,task_order,completeness_acquisition_testing,completeness_acquisition_training,completeness_extinction_testing,completeness_extinction_training,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_extinction_testing,mean_correct_extinction_training,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_extinction_testing,passed_performance_criterion_extinction_training,self_reported_OEC_effect,self_reported_OEC_effect_controlling_stimulus_identity,self_reported_IR_effect,self_reported_IR_effect_controlling_stimulus_identity,complete_iat_data,iat_block_order,passed_iat_performance,IAT_D2,IAT_D2_controlling_stimulus_identity,behavioral_intentions_OEC,behavioral_intentions_IR,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
2,2_73,39,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,8,8,2,2,complete,learning_consistent_first,TRUE,0.6391951649945931,0.6391951649945931,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,3,1,1,1,1,no,NA
2,2_99,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,NA,0.95,0.75,NA,NA,TRUE,TRUE,NA,NA,-0.25,-0.25,0.25,0.25,complete,learning_consistent_first,TRUE,0.30939585510962714,0.30939585510962714,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,9,5,5,5,5,no,NA
2,2_76,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,10,10,10,10,complete,learning_inconsistent_first,TRUE,0.04929454482642172,0.04929454482642172,I would try Brand 1,I would try Brand 2,Not Demand Compliant,no,NA,5,5,-5,-5,yes,5
2,2_66,24,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,0.85,1,NA,NA,TRUE,TRUE,NA,NA,0.25,0.25,0,0,complete,learning_inconsistent_first,TRUE,0.07295025417544757,0.07295025417544757,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,1,1,1,1,no,NA
2,2_44,39,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,2,2,2,2,complete,learning_inconsistent_first,TRUE,0.567106912890976,0.567106912890976,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,4,1,1,1,1,no,NA
2,2_65,44,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,3.75,3.75,2,2,complete,learning_consistent_first,TRUE,0.08912876007335746,0.08912876007335746,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,5,0,0,0,0,no,NA
2,2_34,21,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,0,0,-0.25,-0.25,complete,learning_inconsistent_first,TRUE,-0.32500039667009173,-0.32500039667009173,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,3,3,3,3,yes,6
2,2_33,35,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,0,0,0.5,0.5,complete,learning_consistent_first,TRUE,0.5902314928851635,0.5902314928851635,I would try neither Brand,I don't know,Not Demand Compliant,yes,7,5,5,5,5,yes,9
2,2_42,29,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,6,6,0,0,complete,learning_inconsistent_first,TRUE,-0.1475124915558082,-0.1475124915558082,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,0,5,0,yes,9
2,2_36,23,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,8,8,7.25,7.25,complete,learning_inconsistent_first,TRUE,-0.06430229856486255,-0.06430229856486255,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,3,2,2,1,1,yes,9
2,2_11,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,0.85,0.375,0.875,0.85,TRUE,FALSE,TRUE,TRUE,0,0,0,0,complete,learning_consistent_first,TRUE,0.3812190157935982,0.3812190157935982,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,3,2,-2,3,-1,yes,5
2,2_12,28,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,9.5,9.5,8.75,8.75,complete,learning_inconsistent_first,TRUE,0.048616310923479816,0.048616310923479816,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,5,0,0,0,0,yes,5
2,2_4,35,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,6,6,6,6,complete,learning_inconsistent_first,TRUE,-0.15027220370581745,-0.15027220370581745,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,5,5,5,5,yes,5
2,2_9,42,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,4,4,1,1,complete,learning_consistent_first,TRUE,0.42876733874995465,0.42876733874995465,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,2,2,2,2,no,NA
2,2_10,33,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,9.5,9.5,9,9,complete,learning_inconsistent_first,TRUE,0.6660754502178373,0.6660754502178373,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,5,5,5,5,yes,6
2,2_2,NA,ew,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,partial,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,0,0,0,0,partial,learning_inconsistent_first,TRUE,NA,NA,I would try Brand 1,I would try Brand 4,Not Demand Compliant,no,NA,0,0,0,0,no,NA
2,2_144,36,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,NA,complete,complete,complete,complete,0.95,0.5,0.5,0.45,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2_141,21,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,NA,NA,complete,NA,NA,0.9,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2_142,26,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,8,8,5,5,complete,learning_inconsistent_first,TRUE,-0.2836860338630863,-0.2836860338630863,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,3,3,3,3,no,NA
2,2_136,42,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,0,0,0,0,complete,learning_inconsistent_first,TRUE,0.2268936937214625,0.2268936937214625,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,5,4,4,4,4,no,NA
2,2_133,35,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,1,0.5,NA,NA,TRUE,FALSE,NA,NA,3.5,3.5,-2.5,-2.5,complete,learning_consistent_first,TRUE,0.06176439444482287,0.06176439444482287,I would try Brand 1,I don't know,Not Demand Compliant,yes,1,-4,-4,-4,-4,no,NA
2,2_72,24,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,NA,0.95,0.5,NA,NA,TRUE,FALSE,NA,NA,1,1,-5.75,-5.75,complete,learning_inconsistent_first,TRUE,0.8310655855851188,0.8310655855851188,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,5,-3,2,-3,4,yes,5
2,2_102,21,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,1.25,1.25,2.75,2.75,complete,learning_inconsistent_first,TRUE,0.36114371907880094,0.36114371907880094,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,4,1,1,2,1,yes,4
2,2_112,35,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,2,2,0.25,0.25,complete,learning_inconsistent_first,TRUE,-0.5119461948941388,-0.5119461948941388,I don't know,I would try Brand 2,Not Demand Compliant,no,NA,5,3,5,0,no,NA
2,2_46,30,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,1,1,1.25,1.25,complete,learning_inconsistent_first,TRUE,0.19014757896284545,0.19014757896284545,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,3,2,3,0,1,yes,3
2,2_111,39,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,3.25,3.25,-1.25,-1.25,complete,learning_consistent_first,TRUE,-0.382391411653759,-0.382391411653759,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,1,2,0,2,0,no,NA
2,2_47,26,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,0.45,0.375,0.75,0.95,FALSE,FALSE,TRUE,TRUE,2.25,2.25,2.5,2.5,complete,learning_consistent_first,FALSE,0.27561103460461267,0.27561103460461267,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,2,0,-1,1,no,NA
2,2_109,20,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,0.5,1,1,TRUE,FALSE,TRUE,TRUE,2,2,0,0,complete,learning_consistent_first,TRUE,-0.03683193310011131,-0.03683193310011131,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,7,2,2,2,2,no,NA
2,2_78,36,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,0.9,1,0.75,1,TRUE,TRUE,TRUE,TRUE,2.5,2.5,10,10,complete,learning_inconsistent_first,TRUE,0.506631768135749,0.506631768135749,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,7,5,5,-5,-5,no,NA
2,2_101,32,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,2.25,2.25,4,4,complete,learning_consistent_first,TRUE,0.6021357554923454,0.6021357554923454,I would try Brands 1 and 3,I would try Brand 2,Not Demand Compliant,yes,7,5,5,5,5,no,NA
2,2_69,18,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,3.5,3.5,-0.5,-0.5,complete,learning_consistent_first,TRUE,0.28663908845715247,0.28663908845715247,I would try neither Brand,I would try Brands 2 and 4,Not Demand Compliant,yes,4,0,2,0,0,yes,3
2,2_71,30,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,NA,0.35,0.5,NA,NA,FALSE,FALSE,NA,NA,0.75,0.75,-0.5,-0.5,complete,learning_consistent_first,TRUE,0.40196251182093484,0.40196251182093484,I would try Brand 1,I would try neither Brand,Not Demand Compliant,yes,1,0,0,0,0,no,NA
2,2_48,35,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,0.9,0.875,1,1,TRUE,TRUE,TRUE,TRUE,3,3,2.25,2.25,complete,learning_inconsistent_first,TRUE,0.7715457420103431,0.7715457420103431,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,5,0,0,0,0,no,NA
2,2_37,26,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,1,0.5,NA,NA,TRUE,FALSE,NA,NA,3.75,3.75,5.25,5.25,complete,learning_consistent_first,TRUE,0.6062066166535202,0.6062066166535202,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,3,0,2,-1,1,no,NA
2,2_40,40,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,NA,0.95,1,NA,NA,TRUE,TRUE,NA,NA,4,4,3,3,complete,learning_inconsistent_first,TRUE,0.020352013791714363,0.020352013791714363,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,4,3,3,5,1,no,NA
2,2_45,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,10,10,10,10,complete,learning_consistent_first,TRUE,0.6753924021009028,0.6753924021009028,I would try Brand 1,I would try Brand 2,Not Demand Compliant,no,NA,4,4,4,4,yes,5
2,2_38,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,0.95,0.75,NA,NA,TRUE,TRUE,NA,NA,0,0,1,1,complete,learning_inconsistent_first,TRUE,-0.3586453061590676,-0.3586453061590676,I don't know,I don't know,Not Demand Compliant,yes,3,5,0,5,0,no,NA
2,2_39,33,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,NA,0.5,0.5,NA,NA,FALSE,FALSE,NA,NA,0,0,0,0,complete,learning_consistent_first,TRUE,-0.04713335710558075,-0.04713335710558075,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,2,2,2,2,yes,5
2,2_16,40,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,0,0,0,0,complete,learning_inconsistent_first,TRUE,0.5804125174654717,0.5804125174654717,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,2,0,0,0,0,yes,7
2,2_8,26,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,NA,0.9,1,NA,NA,TRUE,TRUE,NA,NA,5,5,1,1,complete,learning_inconsistent_first,TRUE,1.0470404259607131,1.0470404259607131,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,4,-4,-4,-4,-4,no,NA
2,2_6,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,0.9,1,NA,NA,TRUE,TRUE,NA,NA,0,0,0,0,complete,learning_inconsistent_first,TRUE,0.21188693854923293,0.21188693854923293,I would try neither Brand,I would try neither Brand,Not Demand Compliant,yes,5,0,0,0,0,no,NA
2,2_5,39,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,-2,-2,0,0,complete,learning_consistent_first,TRUE,-0.8457066878933631,-0.8457066878933631,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,4,1,1,1,1,no,NA
2,2_7,30,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,NA,0.5,0.625,NA,NA,FALSE,FALSE,NA,NA,0,0,0,0,complete,learning_consistent_first,TRUE,-0.05490581072482544,-0.05490581072482544,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,1,5,5,5,5,yes,5
2,2_156,27,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,0.9,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-8,8,-8,8,complete,learning_inconsistent_first,TRUE,0.35359122532819004,-0.35359122532819004,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,3,4,4,4,4,no,NA
2,2_153,25,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,0.95,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-6.25,6.25,-4.25,4.25,complete,learning_consistent_first,TRUE,0.41427850631955027,-0.41427850631955027,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,6,-4,-5,3,5,yes,7
2,2_147,25,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-4,4,0,-0,complete,learning_consistent_first,TRUE,0.3348364015556806,-0.3348364015556806,I would try Brand 3,I don't know,Not Demand Compliant,yes,1,5,5,5,5,yes,5
2,2_145,31,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-10,10,-10,10,complete,learning_consistent_first,TRUE,0.2750681980191693,-0.2750681980191693,I would try Brands 1 and 3,I would try Brands 2 and 4,Demand Compliant,yes,1,5,5,5,5,no,NA
2,2_49,38,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Explicits First,complete,complete,NA,NA,0.55,0.375,NA,NA,FALSE,FALSE,NA,NA,0,-0,-0.25,0.25,complete,learning_consistent_first,TRUE,-0.13077417734440966,0.13077417734440966,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,5,3,3,3,3,no,NA
2,2_121,26,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-2,2,0,-0,complete,learning_consistent_first,TRUE,-0.8848183493582211,0.8848183493582211,I don't know,I don't know,Not Demand Compliant,yes,7,0,0,3,0,no,NA
2,2_122,24,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-10,10,-4.25,4.25,complete,learning_inconsistent_first,TRUE,-0.6610944859158401,0.6610944859158401,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,5,5,4,5,5,no,NA
2,2_116,43,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-10,10,0,-0,complete,learning_inconsistent_first,TRUE,0.20424837521792086,-0.20424837521792086,I would try Brand 3,I would try Brands 2 and 4,Not Demand Compliant,yes,1,5,5,5,5,no,NA
2,2_114,28,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-3,3,0,-0,complete,learning_inconsistent_first,TRUE,-0.12961815419515643,0.12961815419515643,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,1,3,-1,3,-2,yes,4
2,2_115,33,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Implicits First,complete,complete,NA,NA,0.95,0.75,NA,NA,TRUE,TRUE,NA,NA,0,-0,0,-0,complete,learning_consistent_first,TRUE,-0.7512590107448041,0.7512590107448041,I would try Brand 3,I would try Brand 4,Demand Compliant,yes,7,2,2,2,2,yes,6
2,2_89,21,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,Explicits First,complete,complete,complete,complete,1,0.875,1,1,TRUE,TRUE,TRUE,TRUE,-10,10,0,-0,complete,learning_consistent_first,TRUE,-0.8733022251372184,0.8733022251372184,I would try Brand 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,3,3,5,3,no,NA
2,2_59,22,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,NA,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2_82,18,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-1,1,0.5,-0.5,complete,learning_inconsistent_first,TRUE,0.07849859100178364,-0.07849859100178364,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,1,0,0,-1,0,no,NA
2,2_91,24,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,Implicits First,complete,complete,complete,complete,0.85,1,0.75,0.95,TRUE,TRUE,TRUE,TRUE,-5.5,5.5,3.5,-3.5,complete,learning_consistent_first,TRUE,-0.0764213380258362,0.0764213380258362,I don't know,I don't know,Not Demand Compliant,yes,3,0,0,0,0,no,NA
